patient,timepoint_type,CN.label,predicted.annotation,n_cells
P09,MRD,cancer,HSC/MPP2,129
P09,MRD,cancer,LMPP,82
P09,MRD,cancer,HSC/MPP1,49
P09,MRD,cancer,cDC,42
P09,MRD,cancer,NP2,29
P09,MRD,cancer,MEP-MkP,15
P09,MRD,cancer,NP1,13
P09,MRD,cancer,pDC1,8
P09,MRD,cancer,MEP-EP,5
P09,MRD,cancer,EBM,3
P09,MRD,normal,MEP-EP,4372
P09,MRD,normal,CLP,4224
P09,MRD,normal,HSC/MPP2,1536
P09,MRD,normal,NP2,1401
P09,MRD,normal,NP1,1256
P09,MRD,normal,cDC,1128
P09,MRD,normal,pDC2,724
P09,MRD,normal,pDC1,557
P09,MRD,normal,HSC/MPP1,467
P09,MRD,normal,LMPP,408
P09,MRD,normal,EBM,407
P09,MRD,normal,MEP-MkP,265
P09,MRD,normal,ncMono,6
P09,Relapse,cancer,HSC/MPP2,473
P09,Relapse,cancer,LMPP,228
P09,Relapse,cancer,HSC/MPP1,119
P09,Relapse,cancer,NP2,70
P09,Relapse,cancer,MEP-MkP,56
P09,Relapse,cancer,NP1,37
P09,Relapse,cancer,cDC,34
P09,Relapse,cancer,EBM,13
P09,Relapse,cancer,CLP,5
P09,Relapse,cancer,MEP-EP,5
P09,Relapse,cancer,pDC1,4
P09,Relapse,cancer,pDC2,1
P09,Relapse,normal,CLP,114
P09,Relapse,normal,MEP-EP,86
P09,Relapse,normal,NP1,83
P09,Relapse,normal,NP2,79
P09,Relapse,normal,HSC/MPP1,45
P09,Relapse,normal,pDC2,44
P09,Relapse,normal,HSC/MPP2,42
P09,Relapse,normal,pDC1,32
P09,Relapse,normal,cDC,30
P09,Relapse,normal,EBM,22
P09,Relapse,normal,MEP-MkP,17
P09,Relapse,normal,LMPP,16
P10,MRD,normal,MEP-EP,581
P10,MRD,normal,CLP,575
P10,MRD,normal,HSC/MPP2,430
P10,MRD,normal,NP1,303
P10,MRD,normal,NP2,200
P10,MRD,normal,pDC1,125
P10,MRD,normal,EBM,105
P10,MRD,normal,cDC,103
P10,MRD,normal,LMPP,100
P10,MRD,normal,HSC/MPP1,80
P10,MRD,normal,pDC2,60
P10,MRD,normal,MEP-MkP,49
P10,MRD,normal,ncMono,4
P11,MRD,normal,CLP,1007
P11,MRD,normal,MEP-EP,940
P11,MRD,normal,HSC/MPP2,513
P11,MRD,normal,NP1,382
P11,MRD,normal,cDC,304
P11,MRD,normal,NP2,293
P11,MRD,normal,EBM,135
P11,MRD,normal,pDC1,132
P11,MRD,normal,HSC/MPP1,109
P11,MRD,normal,pDC2,96
P11,MRD,normal,LMPP,66
P11,MRD,normal,MEP-MkP,47
P12,MRD,normal,MEP-EP,747
P12,MRD,normal,cDC,370
P12,MRD,normal,NP1,337
P12,MRD,normal,HSC/MPP2,294
P12,MRD,normal,NP2,208
P12,MRD,normal,pDC2,144
P12,MRD,normal,pDC1,99
P12,MRD,normal,LMPP,96
P12,MRD,normal,EBM,62
P12,MRD,normal,HSC/MPP1,54
P12,MRD,normal,MEP-MkP,44
P12,MRD,normal,CLP,26
P12,MRD,normal,ncMono,7
P13,MRD,cancer,LMPP,2
P13,MRD,cancer,HSC/MPP1,1
P13,MRD,cancer,HSC/MPP2,1
P13,MRD,normal,CLP,1793
P13,MRD,normal,cDC,838
P13,MRD,normal,NP2,748
P13,MRD,normal,HSC/MPP2,660
P13,MRD,normal,NP1,471
P13,MRD,normal,LMPP,380
P13,MRD,normal,pDC2,286
P13,MRD,normal,pDC1,207
P13,MRD,normal,MEP-EP,146
P13,MRD,normal,HSC/MPP1,128
P13,MRD,normal,EBM,79
P13,MRD,normal,MEP-MkP,31
P13,MRD,normal,ncMono,3
P13,Relapse,cancer,HSC/MPP1,1968
P13,Relapse,cancer,HSC/MPP2,1223
P13,Relapse,cancer,LMPP,236
P13,Relapse,cancer,EBM,156
P13,Relapse,cancer,MEP-MkP,63
P13,Relapse,cancer,cDC,61
P13,Relapse,cancer,NP1,29
P13,Relapse,cancer,NP2,24
P13,Relapse,cancer,CLP,16
P13,Relapse,cancer,pDC1,7
P13,Relapse,cancer,MEP-EP,4
P13,Relapse,normal,CLP,170
P13,Relapse,normal,HSC/MPP2,75
P13,Relapse,normal,LMPP,69
P13,Relapse,normal,pDC1,46
P13,Relapse,normal,MEP-MkP,36
P13,Relapse,normal,EBM,31
P13,Relapse,normal,NP1,30
P13,Relapse,normal,HSC/MPP1,27
P13,Relapse,normal,MEP-EP,20
P13,Relapse,normal,NP2,18
P13,Relapse,normal,cDC,17
P13,Relapse,normal,pDC2,12
P13,Relapse,normal,ncMono,1
